"עמר, נדב",קביעות במועדונים,"מעבדת הצחוק של היודלה בר, קומדי בר"
"ענפי, יוני",במות פתוחות,דנסינג קאמל
"פאולינה, זהר",פתיחת קופות,
"פאוקר, ליאור",הופעות/כתיבה בטלוויזיה,צמד שיניים
"פדאל, איתמר",קביעות במועדונים,קומדי בר
"פז, מאיה",במות פתוחות,ערב הסטנדאפ המיותר
"פז, קארין",פתיחת קופות,קומדי בר
"פטל, אדיר",במות פתוחות,
"פטריק, מיכאל",במות פתוחות,
"פינסקר, דנה",במות פתוחות,ערב הסטנדאפ חסר הביטחון העצמי
"פינקי, איתי",פתיחת קופות,סטנדאפ פקטורי
"פיפר, עופר",פתיחת קופות,
"פיפרברג, טל",במות פתוחות,
"פיש, יאיר",במות פתוחות,האשכנזים
"פישמן, תומר",הופעות/כתיבה בטלוויזיה,"כל מה שמצחיק בעולם, ערב הסטנדאפ המיותר"
"פישר, גיתית",כוכבות,
"פלאצ'י, דיקלה קרן",במות פתוחות,
"פלד הרפז, דורית",פתיחת קופות,
"פלדהאמר, ג'רמי",אנגלית,דנסינג קאמל
"פלדמן, רון",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"פנדריך, נועם",במות פתוחות,
"פנסו, יוסי",פתיחת קופות,קומדי בר
"פפו, הראל",פתיחת קופות,
"פרג'ון, אלעד",במות פתוחות,
"פרום מרגלית, אורלי",במות פתוחות,
"פרחי, סתיו",במות פתוחות,
"פרי סגל, דנה",במות פתוחות,
"פרידמן, אלעזר",במות פתוחות,
"פרידמן, טל",כוכבות,
"פרידמן, שגיב",פתיחת קופות,קאמל קומדי קלאב
"פרייליך, תמיר אלכס",במות פתוחות,
"פרישמן, נדב",קביעות במועדונים,קאמל קומדי קלאב
"פרנק ארליך, ירין",במות פתוחות,
"פרסטר, משה",פתיחת קופות,
"פרץ, מתן",קביעות במועדונים,"הנרקיסיסטים, סטנדאפ פקטורי"
"צאיג, כרמל",הופעות/כתיבה בטלוויזיה,"סטנדאפ ואלרגיות, ערב הסטנדאפ המיותר"
"צברי, רועי",פתיחת קופות,קאמל קומדי קלאב
"צור, מתן",במות פתוחות,
"צח, דור",במות פתוחות,
"ציון, נאור",כוכבות,
"צנחני, עדן",קביעות במועדונים,קאמל קומדי קלאב
"צרפתי, דן",במות פתוחות,ערב הסטנדאפ החמים
"קאושנסקי, אביה",במות פתוחות,
"קובה, יוסי",במות פתוחות,
"קובל, קובי",במות פתוחות,
"קולודובסקי, אליק",במות פתוחות,
"קופטש, גיל",כוכבות,קאמל קומדי קלאב
"קור, דוד",במות פתוחות,
"קוריאט, קובי",פתיחת קופות,
"קוריאט, שלומי",כוכבות,
"קורנר, כפיר",במות פתוחות,
"קורקוס, דידי",במות פתוחות,ערב הסטנדאפ החמים
"קטורזה, ישראל",כוכבות,
"קילימניק, דייוויד",אנגלית,אוף דה וול
"קיפריס, בן",במות פתוחות,
"קיציס, איל",כוכבות,
"קירזון, מיכל",פתיחת קופות,בנות עם ביצים
"קירש, שרה",אנגלית,דנסינג קאמל
"קל, מורן",הופעות/כתיבה בטלוויזיה,
"קליימן, ארז",פתיחת קופות,קאמל קומדי קלאב
"קליין, אביגיל",פתיחת קופות,
"קליין, גלעד",במות פתוחות,
"קלינג, עמית",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"קלמן, רני",במות פתוחות,
"קלצל, יוני",במות פתוחות,
"קם, מיקי",כוכבות,
"קמושביץ, דני",פתיחת קופות,
